2	0	chat
1	5	chat
3	15	chat
2	20	chat
2	23	search
3	29	chat
1	43	chat
2	51	chat
2	71	chat
3	78	chat
2	86	chat
1	109	chat
3	109	chat
2	122	chat
3	126	chat
2	138	search
3	143	chat
2	155	chat
1	172	search
3	172	chat
2	180	chat
2	195	search
3	209	chat
3	217	chat
2	224	chat
1	234	search
3	236	search
2	238	chat
1	253	chat
2	254	chat
3	262	search
3	293	chat
2	297	chat
1	297	chat
3	313	search
1	318	search
3	338	search
1	340	search
3	349	view
1	352	view
2	353	chat
2	355	search
1	364	search
3	369	chat
2	375	bookmark
2	389	chat
3	396	view
1	409	search
3	415	view
2	417	chat
3	426	view
1	427	search
1	435	bookmark
2	436	view
2	438	view
1	449	chat
3	453	view
2	459	view
1	461	view
3	463	bookmark
3	472	search
1	484	view
2	486	search
2	489	search
1	492	view
3	496	search
2	497	view
3	508	view
1	525	search
1	533	search
2	542	chat
3	550	search
1	560	view
2	562	view
2	572	view
1	578	bookmark
3	581	search
3	587	view
1	594	chat
2	605	view
3	616	view
1	627	chat
3	637	search
1	644	search
2	652	chat
1	653	view
3	664	search
1	665	search
2	675	chat
1	683	search
1	685	search
2	688	view
1	694	view
2	695	search
1	696	view
2	706	search
1	709	search
2	714	view
3	719	search
2	723	view
1	728	chat
3	730	search
2	741	view
2	743	view
1	743	view
1	746	view
2	750	bookmark
1	754	bookmark
2	768	chat
1	775	search
2	775	view
1	777	view
2	779	view
3	785	search
2	786	view
2	788	view
3	797	bookmark
3	804	chat
2	822	chat
3	824	search
1	827	chat
3	834	view
3	844	view
1	845	chat
2	857	view
2	889	view
1	890	search
1	890	search
1	900	view
2	905	view
2	907	view
3	909	chat
2	923	view
1	926	view
1	929	view
2	932	view
3	934	view
2	935	view
3	935	view
2	968	chat
1	980	view
2	985	view
1	989	view
2	992	view
3	993	view
2	998	view
1	1000	view
2	1008	view
2	1011	view
1	1012	view
2	1013	view
1	1029	view
3	1038	search
2	1045	view
2	1059	view
2	1061	view
3	1064	search
1	1065	view
1	1067	view
1	1074	view
1	1092	view
1	1093	view
2	1099	chat
1	1108	view
3	1111	view
3	1114	view
2	1118	search
1	1119	view
2	1128	search
3	1130	view
3	1131	view
1	1135	view
1	1137	view
2	1143	search
1	1147	view
3	1148	view
1	1151	view
2	1153	search
2	1160	search
3	1169	view
1	1171	view
1	1174	view
2	1175	search
1	1180	view
2	1182	search
3	1185	view
1	1187	view
3	1187	view
2	1189	search
1	1190	view
1	1192	view
2	1201	search
3	1202	view
2	1208	search
2	1212	search
3	1213	view
1	1217	view
3	1218	view
2	1222	search
2	1231	search
2	1239	search
3	1243	view
2	1245	search
1	1250	view
3	1253	view
3	1259	view
1	1260	view
1	1269	view
2	1276	chat
1	1283	view
2	1288	view
1	1289	view
3	1299	chat
3	1307	view
1	1321	view
2	1331	chat
2	1348	view
2	1352	view
1	1352	chat
3	1367	search
1	1373	view
1	1386	view
3	1390	view
3	1392	view
2	1405	chat
3	1405	view
1	1415	search
3	1417	bookmark
2	1425	view
1	1427	search
3	1428	chat
3	1432	search
2	1437	view
1	1438	view
3	1439	search
1	1448	search
1	1449	view
1	1480	view
3	1487	search
3	1500	search
1	1503	chat
3	1512	view
1	1521	view
3	1541	view
3	1545	view
3	1553	view
2	1562	chat
1	1571	view
3	1573	view
2	1576	view
2	1584	view
3	1591	view
1	1592	view
1	1598	view
2	1600	view
2	1600	view
2	1603	view
2	1614	view
3	1639	view
1	1643	view
1	1645	view
2	1658	chat
1	1663	view
3	1669	view
2	1684	chat
1	1685	view
3	1694	chat
3	1696	view
2	1712	chat
3	1721	chat
3	1727	view
2	1728	chat
2	1740	view
2	1743	view
3	1747	view
3	1749	view
2	1757	chat
1	1760	chat
3	1768	view
2	1769	view
3	1778	view
1	1793	view
3	1805	chat
3	1808	chat
3	1817	view
2	1822	view
2	1823	view
2	1833	chat
2	1840	view
2	1841	view
1	1842	view
1	1844	view
2	1845	view
2	1861	view
1	1865	search
3	1865	view
2	1867	view
3	1868	view
2	1881	view
3	1882	view
2	1883	view
3	1884	view
1	1886	search
1	1890	view
3	1893	view
1	1906	view
2	1907	view
3	1913	view
2	1914	view
1	1917	view
2	1918	view
1	1919	view
3	1927	chat
1	1930	view
2	1939	chat
2	1944	view
3	1947	view
2	1947	view
1	1949	view
2	1971	view
3	1972	chat
2	1976	view
3	1983	view
2	1996	view
2	1997	view
2	2004	view
2	2010	view
2	2011	view
3	2016	chat
3	2033	view
1	2040	chat
1	2049	chat
3	2055	view
3	2057	view
3	2059	view
1	2062	view
2	2065	chat
1	2072	view
1	2076	view
1	2083	view
1	2086	view
3	2087	view
2	2089	chat
3	2092	view
1	2100	view
1	2104	view
3	2105	view
2	2107	view
3	2113	view
1	2127	chat
1	2130	view
3	2139	view
2	2141	view
3	2142	view
1	2144	search
2	2151	view
2	2157	view
3	2163	chat
3	2166	view
3	2181	view
1	2183	chat
3	2191	view
3	2192	view
3	2194	view
2	2196	chat
3	2203	chat
3	2213	view
3	2219	view
3	2234	view
2	2239	chat
2	2266	view
2	2268	view
3	2269	chat
2	2271	view
2	2274	view
3	2276	search
1	2277	chat
2	2277	view
2	2285	chat
